"","variable","Heuchera_glabra_avg"
"1",6.75,0.00121982568208723
"2",31.9948979591837,0.0382939537454616
"3",57.2397959183673,0.249719087091941
"4",82.484693877551,0.360536327149572
"5",107.729591836735,0.21537260809215
"6",132.974489795918,0.080867924018672
"7",158.219387755102,0.0358114242289726
"8",183.464285714286,0.0122493364460707
"9",208.709183673469,0.00376769091416922
"10",233.954081632653,0.00138569605594995
"11",259.198979591837,0.000441483624601715
"12",284.44387755102,0.000173907509068221
"13",309.688775510204,0.00011187128911293
"14",334.933673469388,4.3770500973673e-05
"15",360.178571428571,5.09365119702614e-06
"16",385.423469387755,0
"17",410.668367346939,0
"18",435.913265306122,0
"19",461.158163265306,0
"20",486.40306122449,0
"21",511.647959183673,0
"22",536.892857142857,0
"23",562.137755102041,0
"24",587.382653061225,0
"25",612.627551020408,0
"26",637.872448979592,0
"27",663.117346938776,0
"28",688.362244897959,0
"29",713.607142857143,0
"30",738.852040816327,0
"31",764.09693877551,0
"32",789.341836734694,0
"33",814.586734693878,0
"34",839.831632653061,0
"35",865.076530612245,0
"36",890.321428571429,0
"37",915.566326530612,0
"38",940.811224489796,0
"39",966.05612244898,0
"40",991.301020408163,0
"41",1016.54591836735,0
"42",1041.79081632653,0
"43",1067.03571428571,0
"44",1092.2806122449,0
"45",1117.52551020408,0
"46",1142.77040816327,0
"47",1168.01530612245,0
"48",1193.26020408163,0
"49",1218.50510204082,0
"50",1243.75,0
