"","variable","Heuchera_merriamii_avg"
"1",60,1.16742851387559e-05
"2",143.571428571429,5.798507085655e-05
"3",227.142857142857,0.000132147307646287
"4",310.714285714286,0.000417833154821307
"5",394.285714285714,0.000923143300880849
"6",477.857142857143,0.00125449487595368
"7",561.428571428571,0.0020202518698574
"8",645,0.00383035024047422
"9",728.571428571429,0.00505250785825302
"10",812.142857142857,0.0104839463981478
"11",895.714285714286,0.0126539800507179
"12",979.285714285714,0.0161713135683096
"13",1062.85714285714,0.0232059219540047
"14",1146.42857142857,0.0259175894529241
"15",1230,0.032934612279772
"16",1313.57142857143,0.0402008081456373
"17",1397.14285714286,0.0371381073739759
"18",1480.71428571429,0.0479752172543657
"19",1564.28571428571,0.0718409590050884
"20",1647.85714285714,0.0688566828257094
"21",1731.42857142857,0.100459941456594
"22",1815,0.113072785607303
"23",1898.57142857143,0.107476226554477
"24",1982.14285714286,0.0986293188129924
"25",2065.71428571429,0.0656724797905338
"26",2149.28571428571,0.045886719356036
"27",2232.85714285714,0.0328298275999342
"28",2316.42857142857,0.0147118035627797
"29",2400,0.00834185687434669
"30",2483.57142857143,0.00447825841738514
"31",2567.14285714286,0.00261105297240706
"32",2650.71428571429,0.00197788123875977
"33",2734.28571428571,0.001185914352847
"34",2817.85714285714,0.000573555199698974
"35",2901.42857142857,0.000481485173653215
"36",2985,0.0002509715224674
"37",3068.57142857143,3.48644170314938e-05
"38",3152.14285714286,9.95491076354225e-05
"39",3235.71428571429,0.000145981710584108
"40",3319.28571428571,0
"41",3402.85714285714,0
"42",3486.42857142857,0
"43",3570,0
"44",3653.57142857143,0
"45",3737.14285714286,0
"46",3820.71428571429,0
"47",3904.28571428571,0
"48",3987.85714285714,0
"49",4071.42857142857,0
"50",4155,0
